Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,
Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,
Citrus Fruit,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,
Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Berries & Grapes,0.0,0.0,0.7,0.0,0.2,0.2,0.0,
Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,
Other Fruit,0.1,0.0,0.4,0.0,0.2,0.0,0.0,
Coffee,3.7,0.0,10.4,0.6,0.1,1.6,0.1,
Dark Chocolate,14.3,0.0,3.7,0.2,0.1,0.4,0.0,
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,
Eggs,0.7,2.2,1.3,0.0,0.1,0.2,0.0,
Fish (farmed),0.5,0.8,3.6,0.0,0.1,0.1,0.0,
Shrimps (farmed),0.2,2.5,8.4,0.0,0.2,0.3,0.2,