Entity,Code,Year,Land use per kilogram (mÂ² per kilogram)
Apples,,2018,0.63
Bananas,,2018,1.93
Barley,,2018,1.11
Beef (beef herd),,2018,326.21
Beef (dairy herd),,2018,43.24
Beet Sugar,,2018,1.83
Berries & Grapes,,2018,2.41
Brassicas,,2018,0.55
Cane Sugar,,2018,2.04
Cassava,,2018,1.81
Cheese,,2018,87.79
Citrus Fruit,,2018,0.86
Coffee,,2018,21.62
Dark Chocolate,,2018,68.96
Eggs,,2018,6.27
Fish (farmed),,2018,8.41
Groundnuts,,2018,9.11
Lamb & Mutton,,2018,369.81
Maize,,2018,2.94
Milk,,2018,8.95
Nuts,,2018,12.96
Oatmeal,,2018,7.6
Olive Oil,,2018,26.31
Onions & Leeks,,2018,0.39
Other Fruit,,2018,0.89
Other Pulses,,2018,15.57
Other Vegetables,,2018,0.38
Palm Oil,,2018,2.42
Peas,,2018,7.46
Pig Meat,,2018,17.36
Potatoes,,2018,0.88
Poultry Meat,,2018,12.22
Prawns (farmed),,2018,2.97
Rapeseed Oil,,2018,10.63
Rice,,2018,2.8
Root Vegetables,,2018,0.33
Soybean Oil,,2018,10.52
Soymilk,,2018,0.66
Sunflower Oil,,2018,17.66
Tofu (soybeans),,2018,3.52
Tomatoes,,2018,0.8
Wheat & Rye,,2018,3.85
Wine,,2018,1.78